金融新老客,预授信,历史授信状态,进件渠道,额度状态,电商历史是否有单,到站PV,到站UV,商品详情点击率PV,商品详情点击率UV,提单率PV,提单率UV,收银台转化率PV,收银台转化率UV,支付成功率PV,支付成功率UV,商详付费转化率PV,商详付费转化率UV,订单单价,客单价
NULL,NULL,NULL,NULL,NULL,无有效订单,26781,248,0.44%,29.03%,172.22%,230.00%,54.55%,100.00%,9.68%,13.04%,2.52%,4.17%,5390.0333,5390.0333
NULL,NULL,NULL,NULL,NULL,有有效订单,5296,69,0.49%,15.94%,85.71%,109.09%,53.33%,75.00%,0.00%,0.00%,0.00%,0.00%,0,0
新客,非预授信,新授信,01_内部渠道_B_信息流投放,提额,无有效订单,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0
新客,非预授信,新授信,01_内部渠道_B_信息流投放,非提额,无有效订单,34,1,0.00%,0.00%,0%,0%,0%,0%,0%,0%,0%,0%,0,0
新客,预授信,新授信,01_内部渠道_D_自然流量及其他,提额,有有效订单,6816,23,1.07%,52.17%,52.08%,122.22%,40.00%,100.00%,52.00%,81.82%,17.81%,75.00%,"5,711","8,250"
新客,非预授信,新授信,01_内部渠道_D_自然流量及其他,提额,无有效订单,17124,91,0.61%,36.26%,65.38%,78.95%,16.28%,33.33%,11.76%,26.67%,3.85%,12.12%,3271.6425,3271.6425
新客,预授信,新授信,01_内部渠道_D_自然流量及其他,非提额,有有效订单,134492,530,0.73%,40.38%,90.69%,132.77%,43.47%,103.88%,48.11%,84.18%,18.18%,62.15%,"6,764","9,053"
新客,非预授信,新授信,01_内部渠道_D_自然流量及其他,非提额,无有效订单,70712,558,0.66%,32.62%,62.62%,86.32%,33.33%,44.74%,29.85%,34.15%,8.55%,15.38%,2504.485,3577.8357
老客,预授信,新授信,01_内部渠道_D_自然流量及其他,非提额,有有效订单,3274,23,0.98%,34.78%,72.73%,140.00%,50.00%,71.43%,62.50%,71.43%,15.63%,62.50%,"7,275","7,275"
新客,非预授信,新授信,其它,提额,无有效订单,12572,125,0.34%,21.60%,39.29%,53.33%,27.78%,37.50%,27.27%,25.00%,6.98%,7.41%,4262,6393
新客,预授信,非新授信,01_内部渠道_D_自然流量及其他,提额,有有效订单,34022,223,0.71%,30.04%,79.63%,102.50%,52.78%,92.11%,55.81%,82.93%,19.83%,50.75%,"8,204","11,582"
新客,非预授信,新授信,其它,非提额,无有效订单,73763,760,0.52%,21.05%,54.27%,81.61%,36.65%,65.67%,29.63%,43.66%,8.29%,19.38%,1335.9272,1379.0216
新客,预授信,非新授信,01_内部渠道_D_自然流量及其他,无额度,有有效订单,76402,843,0.71%,25.03%,136.87%,157.69%,46.05%,47.57%,1.01%,1.83%,0.56%,1.42%,580,580
新客,非预授信,非新授信,01_内部渠道_A_信息流投放,无额度,无有效订单,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0
新客,预授信,非新授信,01_内部渠道_D_自然流量及其他,非提额,有有效订单,392925,2656,0.81%,31.59%,88.30%,115.33%,48.83%,83.21%,43.42%,63.97%,14.89%,39.57%,"9,979","14,187"
新客,非预授信,非新授信,01_内部渠道_B_信息流投放,无额度,无有效订单,103,3,0.97%,33.33%,0%,0%,0%,0%,0%,0%,0.00%,0.00%,0,0
老客,预授信,非新授信,01_内部渠道_D_自然流量及其他,提额,有有效订单,3967,20,0.91%,45.00%,225.00%,125.00%,44.44%,50.00%,33.33%,40.00%,8.33%,22.22%,"11,829","17,743"
新客,非预授信,非新授信,01_内部渠道_B_信息流投放,非提额,无有效订单,8,1,0.00%,0.00%,0%,0%,0%,0%,0%,0%,0%,0%,0,0
