新老客,预授信,历史授信状态,进件渠道,额度状态,电商历史是否有单,到站PV,到站UV,商详PV,商详UV,确认订单页PV,确认订单页UV,创建成功订单PV,创建成功订单UV,收银台PV,收银台UV,支付请求PV,支付请求UV,支付成功订单PV,支付成功订单UV,提单率,收银台转化率,支付成功率,商详付费转化率,订单单价,客单价
新客,非预授信,新授信,01_内部渠道_B_信息流投放,提额,无有效订单,1884,24,13,7,11,6,2,1,3,1,0,0,0,0,16.67%,0.00%,0.00%,0.00%,0.0000,0.0000
新客,非预授信,新授信,01_内部渠道_B_信息流投放,非提额,无有效订单,9475,73,65,14,28,8,5,2,10,2,3,1,0,0,25.00%,50.00%,0.00%,0.00%,0.0000,0.0000
新客,非预授信,新授信,01_内部渠道_B_信息流投放,非提额,有有效订单,9258,10,138,7,45,7,25,6,38,6,14,6,10,6,85.71%,100.00%,100.00%,85.71%,3107.6040,5179.3400
新客,非预授信,新授信,01_内部渠道_D_自然流量及其他,提额,无有效订单,73139,527,469,183,393,134,114,59,201,60,49,31,35,23,44.03%,51.67%,38.98%,12.57%,3212.9657,4889.2957
新客,非预授信,新授信,01_内部渠道_D_自然流量及其他,提额,有有效订单,76001,99,441,88,606,88,220,86,635,86,166,80,118,80,97.73%,93.02%,93.02%,90.91%,8436.2867,12443.5229
新客,非预授信,新授信,01_内部渠道_D_自然流量及其他,非提额,无有效订单,455534,2783,3125,975,2453,687,781,402,1406,397,319,185,161,130,58.52%,46.60%,32.34%,13.33%,1824.0383,2259.0013
新客,非预授信,新授信,01_内部渠道_D_自然流量及其他,非提额,有有效订单,1261549,2234,8354,1305,8514,1176,3117,1118,6924,1103,2250,1021,1504,997,95.07%,92.57%,89.18%,76.40%,4884.9390,7369.0555
新客,非预授信,新授信,其它,提额,无有效订单,46488,389,185,95,181,79,62,39,132,39,50,26,24,17,49.37%,66.67%,43.59%,17.89%,2645.9933,3735.5200
新客,非预授信,新授信,其它,提额,有有效订单,29982,67,152,48,213,47,72,45,204,44,78,42,51,42,95.74%,95.45%,93.33%,87.50%,5752.5173,6985.1995
新客,非预授信,新授信,其它,非提额,无有效订单,334388,2936,1548,658,1100,437,309,198,571,197,190,103,60,51,45.31%,52.28%,25.76%,7.75%,1618.5767,1904.2078
新客,非预授信,新授信,其它,非提额,有有效订单,659961,1446,4679,817,3997,711,1657,668,3583,664,1209,581,779,559,93.95%,87.50%,83.68%,68.42%,5096.2127,7101.8778
新客,非预授信,非新授信,01_内部渠道_B_信息流投放,提额,无有效订单,1222,8,11,3,6,3,0,0,0,0,0,0,0,0,0.00%,0%,0%,0.00%,0.0000,0.0000
新客,非预授信,非新授信,01_内部渠道_B_信息流投放,无额度,无有效订单,2456,27,19,10,14,7,1,1,1,1,0,0,0,0,14.29%,0.00%,0.00%,0.00%,0.0000,0.0000
新客,非预授信,非新授信,01_内部渠道_B_信息流投放,无额度,有有效订单,777,10,8,3,6,3,6,3,6,3,2,2,1,1,100.00%,66.67%,33.33%,33.33%,1042.0000,1042.0000
新客,非预授信,非新授信,01_内部渠道_B_信息流投放,非提额,无有效订单,3245,39,12,9,8,4,4,4,6,4,1,1,1,1,100.00%,25.00%,25.00%,11.11%,0.1000,0.1000
新客,非预授信,非新授信,01_内部渠道_B_信息流投放,非提额,有有效订单,3790,3,13,3,30,3,8,3,24,3,8,3,4,3,100.00%,100.00%,100.00%,100.00%,7491.2600,9988.3467
新客,非预授信,非新授信,01_内部渠道_D_自然流量及其他,提额,无有效订单,34520,284,222,101,204,68,59,32,80,32,19,11,14,8,47.06%,34.38%,25.00%,7.92%,4631.6457,8105.3800
