新老客,预授信,历史授信状态,进件渠道,额度状态,电商历史是否有单,到站PV,到站UV,商详PV,商详UV,确认订单页PV,确认订单页UV,创建成功订单PV,创建成功订单UV,收银台PV,收银台UV,支付请求PV,支付请求UV,支付成功订单PV,支付成功订单UV,提单率,收银台转化率,支付成功率,商详付费转化率,订单单价,客单价
新客,非预授信,新授信,01_内部渠道_B_信息流投放,提额,无有效订单,338,7,1,1,1,1,0,0,0,0,0,0,0,0,0.00%,0%,0%,0.00%,0.0000,0.0000
新客,非预授信,新授信,01_内部渠道_B_信息流投放,非提额,无有效订单,3486,23,39,10,16,5,3,2,10,2,2,1,1,1,40.00%,50.00%,50.00%,10.00%,0.1000,0.1000
新客,非预授信,新授信,01_内部渠道_B_信息流投放,非提额,有有效订单,928,2,8,1,6,1,3,1,4,1,1,1,1,1,100.00%,100.00%,100.00%,100.00%,26.0000,26.0000
新客,非预授信,新授信,01_内部渠道_D_自然流量及其他,提额,无有效订单,34230,243,246,72,207,57,50,27,115,27,26,14,14,9,47.37%,51.85%,33.33%,12.50%,2903.6171,4516.7378
新客,非预授信,新授信,01_内部渠道_D_自然流量及其他,提额,有有效订单,29101,45,255,39,341,40,122,39,290,40,84,37,66,37,97.50%,92.50%,94.87%,94.87%,7698.3086,13732.1181
新客,非预授信,新授信,01_内部渠道_D_自然流量及其他,非提额,无有效订单,212002,1500,1597,463,1119,313,356,182,658,179,162,87,74,66,58.15%,48.60%,36.26%,14.25%,2170.1755,2433.2271
新客,非预授信,新授信,01_内部渠道_D_自然流量及其他,非提额,有有效订单,475326,1323,3005,614,3812,516,1221,478,2871,470,855,414,543,404,92.64%,88.09%,84.52%,65.80%,4996.1030,6715.0592
新客,非预授信,新授信,其它,提额,无有效订单,12666,151,36,24,36,18,13,8,26,8,13,4,2,2,44.44%,50.00%,25.00%,8.33%,4.1000,4.1000
新客,非预授信,新授信,其它,提额,有有效订单,6152,14,47,11,47,11,25,11,57,11,22,11,15,10,100.00%,100.00%,90.91%,90.91%,5250.5153,7875.7730
新客,非预授信,新授信,其它,非提额,无有效订单,209611,1758,1150,408,811,281,304,160,596,159,189,91,81,62,56.94%,57.23%,38.75%,15.20%,1532.5938,2002.2597
新客,非预授信,新授信,其它,非提额,有有效订单,242432,893,1861,394,1637,311,634,281,1380,279,456,218,301,214,90.35%,78.14%,76.16%,54.31%,6254.9783,8797.8901
新客,非预授信,非新授信,01_内部渠道_B_信息流投放,提额,无有效订单,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0.0000,0.0000
新客,非预授信,非新授信,01_内部渠道_B_信息流投放,无额度,无有效订单,418,10,1,1,1,1,0,0,0,0,0,0,0,0,0.00%,0%,0%,0.00%,0.0000,0.0000
新客,非预授信,非新授信,01_内部渠道_B_信息流投放,无额度,有有效订单,715,7,5,4,3,2,3,2,3,2,1,1,0,0,100.00%,50.00%,0.00%,0.00%,0.0000,0.0000
新客,非预授信,非新授信,01_内部渠道_B_信息流投放,非提额,无有效订单,1341,13,7,5,3,2,2,2,2,2,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.0000,0.0000
新客,非预授信,非新授信,01_内部渠道_B_信息流投放,非提额,有有效订单,138,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0.0000,0.0000
新客,非预授信,非新授信,01_内部渠道_D_自然流量及其他,提额,无有效订单,7650,90,43,22,33,17,11,8,15,8,4,2,2,2,47.06%,25.00%,25.00%,9.09%,2453.0500,2453.0500
新客,非预授信,非新授信,01_内部渠道_D_自然流量及其他,提额,有有效订单,17189,40,155,25,210,23,70,22,134,21,41,20,30,20,95.65%,95.24%,90.91%,80.00%,9881.0927,14821.6390
新客,非预授信,非新授信,01_内部渠道_D_自然流量及其他,无额度,无有效订单,321963,3697,3262,1430,2999,1195,1431,825,1513,799,554,360,0,0,69.04%,45.06%,0.00%,0.00%,0.0000,0.0000
新客,非预授信,非新授信,01_内部渠道_D_自然流量及其他,无额度,有有效订单,840875,7115,7568,2814,9721,2540,4509,2465,5682,2220,2064,1107,15,15,97.05%,49.86%,0.61%,0.53%,31.9267,31.9267
新客,非预授信,非新授信,01_内部渠道_D_自然流量及其他,非提额,无有效订单,105462,959,791,286,501,187,201,110,319,109,101,58,63,48,58.82%,53.21%,43.64%,16.78%,2561.3927,3361.8279
新客,非预授信,非新授信,01_内部渠道_D_自然流量及其他,非提额,有有效订单,168814,653,1152,299,1234,256,437,228,892,223,284,166,205,163,89.06%,74.44%,71.49%,54.52%,5689.0508,7154.9412
新客,非预授信,非新授信,其它,提额,无有效订单,29282,325,104,55,103,37,26,18,56,18,18,9,8,6,48.65%,50.00%,33.33%,10.91%,6021.9050,8029.2067
新客,非预授信,非新授信,其它,提额,有有效订单,14091,52,86,21,88,21,29,16,72,16,26,15,21,15,76.19%,93.75%,93.75%,71.43%,6042.7257,8459.8160
新客,非预授信,非新授信,其它,无额度,无有效订单,3069144,36581,24355,12840,25292,10050,7810,5819,9115,5566,1979,1549,55,43,57.90%,27.83%,0.74%,0.33%,2533.7765,3240.8770
新客,非预授信,非新授信,其它,无额度,有有效订单,1061179,9636,10630,3883,12989,3547,6089,3398,7740,3131,2869,1588,69,52,95.80%,50.72%,1.53%,1.34%,4569.2209,6063.0046
新客,非预授信,非新授信,其它,非提额,无有效订单,360626,4078,1870,730,1279,502,415,268,797,266,260,145,128,109,53.39%,54.51%,40.67%,14.93%,2285.0769,2683.3930
新客,非预授信,非新授信,其它,非提额,有有效订单,379512,1781,2862,608,2247,464,865,410,1795,403,618,335,439,326,88.36%,83.13%,79.51%,53.62%,6490.2044,8739.8765
新客,预授信,新授信,01_内部渠道_D_自然流量及其他,提额,无有效订单,1025,13,1,1,2,1,0,0,0,0,0,0,0,0,0.00%,0%,0%,0.00%,0.0000,0.0000
新客,预授信,新授信,01_内部渠道_D_自然流量及其他,提额,有有效订单,3116,2,12,2,6,2,4,2,9,2,4,2,2,2,100.00%,100.00%,100.00%,100.00%,13436.0000,13436.0000
新客,预授信,新授信,01_内部渠道_D_自然流量及其他,非提额,无有效订单,141884,1084,908,351,777,243,255,136,418,135,77,39,25,21,55.97%,28.89%,15.44%,5.98%,5446.1816,6483.5495
